employee_name,user_id,O,C,E,A,N
Maisie Maggy Kline,MMK1532,17,17,16,22,28
Nicole Tanya Burt,NTB0710,46,37,32,22,21
Madeline Tatum Donaldson,MTD0971,22,38,17,39,40
Nicholas Hamish Browning,NHB1529,41,40,20,44,25
Hoyt Berk Wiley,HBW0057,35,33,43,44,29
Patience Lesley Mccoy,PLM1716,23,17,13,36,34
Ulric Kirk Guthrie,UKG0386,46,34,42,44,21
Guinevere Lisandra Chang,GLC1055,15,48,40,17,29
Ulric Ciaran Dunlap,UCD0608,18,46,13,16,28
Coby Baxter Nguyen,CBN1983,46,38,32,28,15
William Fulton Vega,WFV0687,39,42,35,21,38
Eaton Cade Dillon,ECD1434,40,45,36,13,36
Prescott Coby Key,PCK0271,46,34,23,42,24
Tiger Axel Gates,TAG1610,40,11,24,23,30
Walter Talon Conway,WTC0699,13,20,41,45,31
Thaddeus Rigel Baker,TRB1093,44,43,24,34,29
Anne Stacey Burton,ASB0658,36,19,40,30,32
Daquan Alden Conley,DAC1641,36,45,26,46,36
Silas Nasim Clark,SNC1721,50,33,14,14,28
Urielle Amy Middleton,UAM1108,19,38,30,41,30
Darrel Naida Walton,DNW0899,43,10,15,42,30
Nayda Regina Oneil,NRO1752,33,16,18,45,32
Thaddeus Mohammad Thomas,TMT1509,36,44,20,23,34
Shelby Noelle Cunningham,SNC0218,39,19,23,15,31
Maia Alika Stevens,MAS0783,20,15,24,14,33
Adele Calista Blevins,ACB1485,24,22,24,42,35
Scarlett Jenette Callahan,SJC0232,14,17,34,19,35
Samuel Kaden Barlow,SKB1024,34,44,17,21,28
Jeanette Serina Battle,JSB0803,16,40,27,39,39
Nora Brooke Porter,NBP0252,39,24,45,37,31
Clayton Alden Hodges,CAH0595,34,30,38,23,27
Alden Chaim Jones,ACJ1797,23,32,19,26,32
Christopher Kaseem Rose,CKR1446,46,15,35,23,32
Reese Jonathan Walls,RJW1406,47,39,31,23,34
Ezekiel Blake Quinn,EBQ1246,42,40,19,23,33
Belle Clio Cole,BCC1597,16,16,19,33,28
Janna Maggie Kirby,JMK1531,38,22,19,26,36
Allegra Genevieve Buckner,AGB0901,22,44,15,26,30
Hollee Shafira Griffith,HSG1585,26,12,43,18,35
Shelley Fallon Small,SFS1109,35,39,36,49,34
Tatyana Lavinia Wilder,TLW1050,15,22,17,41,30
Lee Tasha Santiago,LTS1378,15,11,28,22,23
Hakeem Dillon Whitney,HDW0743,37,35,35,21,24
Zachary Wesley Stuart,ZWS0755,45,47,42,39,28
Dora Willa Rodriquez,DWR1387,45,23,42,35,33
Gwendolyn Darrel Camacho,GDC0055,21,36,43,17,16
Imani Lara Glover,ILG0879,48,21,16,22,21
Michelle Aiko Clemons,MAC1175,35,18,21,39,36
Magee Cody Wong,MCW0505,33,42,26,42,27
Oren Aristotle Jarvis,OAJ0244,46,47,19,27,29
Brenden Cody Bryan,BCB1715,40,31,40,19,30
Grady Tarik Conrad,GTC0614,33,38,16,20,26
Brock Talon Garner,BTG1551,36,46,25,19,23
Jolie Harriet Perkins,JHP1654,36,44,30,36,32
Unity Tatyana Mullen,UTM0493,47,26,40,34,33
Hedley Timothy Rowland,HTR0239,37,42,33,20,28
Orson Curran Watts,OCW1127,42,42,38,22,34
William Baxter King,WBK1077,23,11,40,41,25
Kirk Gage Lynch,KGL0178,37,16,40,16,33
Ethan Branden Garrett,EBG1553,24,13,45,30,33
Tashya Camilla Craft,TCC0771,16,40,18,34,21
Kenneth Patrick Mcconnell,KPM1002,35,44,50,46,27
Paul Acton Goodwin,PAG0429,45,15,42,22,28
Ria Kyla Cline,RKC0355,40,23,37,33,23
Todd Baker Melendez,TBM1476,34,33,28,14,30
Karina Melanie Collins,KMC1934,43,44,34,42,34
Jonathan Demetrius Sanders,JDS0177,33,40,31,23,21
Lionel Isaac Jacobson,LIJ1581,43,35,21,19,30
Thomas Channing Acosta,TCA1183,22,15,18,11,22
Sylvia Joan Prince,SJP1023,10,40,25,17,29
Kelly Eaton Oneil,KEO0202,34,40,39,36,24
Olga Hanae Stuart,OHS0036,25,19,36,13,27
Raphael Kennan Finch,RKF0080,36,41,18,25,36
Ulla Megan Henry,UMH1547,10,39,17,33,30
Bert Clayton Langley,BCL1423,41,37,16,15,33
Derek Casey Decker,DCD0715,38,46,10,50,37
Kaye Blossom Gaines,KBG1201,18,36,18,39,31
Gay Adele Foreman,GAF1862,15,36,21,42,40
Callum Reese Raymond,CRR1966,41,45,39,11,31
Cameron Tallulah Marks,CTM1817,13,16,15,24,41
Dolan Nolan Thornton,DNT1801,46,36,43,20,29
Derek Thor Conrad,DTC0840,39,23,37,24,37
Venus Casey Massey,VCM0992,12,30,30,45,25
Karyn Janna Wynn,KJW1664,15,45,22,43,26
Benedict Otto Snow,BOS1170,40,46,41,38,29
Celeste Amethyst Bright,CAB1886,17,19,36,44,28
Dexter Harrison Pacheco,DHP0732,34,36,17,38,27
Jasper Dorian Glover,JDG0255,41,28,42,19,30
Rowan Faith Carrillo,RFC1991,45,13,33,34,30
David Zachary Hale,DZH1867,14,17,47,24,36
Maia Tasha Porter,MTP1582,16,39,17,27,29
Portia Kerry Spears,PKS1187,18,22,41,14,29
Lani Roary Wiggins,LRW1357,21,30,24,16,37
Cathleen Leah Gates,CLG0516,22,33,18,25,37
Hoyt Mason Weeks,HMW0602,39,44,37,33,31
