Laid off Users in CERT5.2 from 2009-12 to 2011-05
RMB1821,2010-09-02,Rose Maisie Blackwell,RMB1821,Rose.Maisie.Blackwell@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Donna Erin Black

JAT1218,2010-26-02,Jolie Abra Travis,JAT1218,Jolie.Abra.Travis@dtaa.com,SystemsEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,7 - SystemsEngineering,Amos Albert Carney

FAM0495,2010-25-02,Fuller Armando Murray,FAM0495,Fuller.Armando.Murray@dtaa.com,SoftwareEngineer,Project 13,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,2 - DesktopSoftware,Shay Kitra Cash

WSW1091,2010-05-02,Wing Scott Weeks,WSW1091,Wing.Scott.Weeks@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley

SDL0541,2010-24-02,Silas Dylan Luna,SDL0541,Silas.Dylan.Luna@dtaa.com,MechanicalEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,2 - MechanicalEngineering,Blythe Deborah Pugh

CTH1812,2010-17-02,Cole Travis Hubbard,CTH1812,Cole.Travis.Hubbard@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,7 - AssemblyDept,Preston Declan Barry

ADL1898,2010-04-02,Ariana Deborah Larson,ADL1898,Ariana.Deborah.Larson@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Ann Christine Moreno

KSW0708,2010-22-02,Kendall Stacy Winters,KSW0708,Kendall.Stacy.Winters@dtaa.com,SoftwareQualityEngineer,Project 17,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,Brennan Thaddeus Dominguez

WMH1300,2010-02-02,Wade Martin Hubbard,WMH1300,Wade.Martin.Hubbard@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Kalia Brenna Luna

LAS0256,2010-11-02,Lillian Aretha Scott,LAS0256,Lillian.Aretha.Scott@dtaa.com,NursePractitioner,,2 - Executive,1 - Adminstration,5 - Medical,,Emma Jocelyn Barnes

JBG1375,2010-25-02,Jeremy Byron Greene,JBG1375,Jeremy.Byron.Greene@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Kuame Dale Graves

GWO1660,2010-26-02,Glenna Wilma Oconnor,GWO1660,Glenna.Wilma.Oconnor@dtaa.com,Scientist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,4 - Lab,Brock Talon Garner

LRF0549,2010-02-02,Lois Rinah Fuentes,LRF0549,Lois.Rinah.Fuentes@dtaa.com,MechanicalEngineer,,1 - Executive,2 - ResearchAndEngineering,4 - Engineering,2 - MechanicalEngineering,Blythe Deborah Pugh

JHP1654,2010-26-03,Jolie Harriet Perkins,JHP1654,Jolie.Harriet.Perkins@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Dacey Zenaida Miles

MIB1265,2010-25-03,Melyssa Ivana Barrera,MIB1265,Melyssa.Ivana.Barrera@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Rebecca Maya Haynes

TCP0380,2010-29-03,Theodore Christian Park,TCP0380,Theodore.Christian.Park@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Prescott Jasper Collins

CBC1504,2010-10-03,Cyrus Bruce Carver,CBC1504,Cyrus.Bruce.Carver@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Raymond Edward Larson

NWP1609,2010-26-03,Naida Willa Perry,NWP1609,Naida.Willa.Perry@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Freya Mara Gould

JDM0208,2010-04-03,Jonathan Driscoll Mckee,JDM0208,Jonathan.Driscoll.Mckee@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Chastity Emerald Sweet

JSB0860,2010-19-03,Jason Stuart Baldwin,JSB0860,Jason.Stuart.Baldwin@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Rae Yetta Greer

HSF1115,2010-26-03,Hedda Suki Fulton,HSF1115,Hedda.Suki.Fulton@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley

CDO0684,2010-17-03,Cleo Deborah Ortiz,CDO0684,Cleo.Deborah.Ortiz@dtaa.com,ITAdmin,Project 38,2 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Jessica Jeanette Cline

KDP1706,2010-11-03,Kelsie Deborah Pate,KDP1706,Kelsie.Deborah.Pate@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Ethan Branden Garrett

FDS1841,2010-10-03,Fatima Dakota Santana,FDS1841,Fatima.Dakota.Santana@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Donna Erin Black

CDG0770,2010-02-03,Charde Dacey Gibbs,CDG0770,Charde.Dacey.Gibbs@dtaa.com,ElectricalEngineer,,2 - Executive,2 - ResearchAndEngineering,4 - Engineering,3 - ElectricalEngineering,Graham Paul Silva

FKH0864,2010-13-04,Ferris Kasper Horton,FKH0864,Ferris.Kasper.Horton@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Rae Yetta Greer

NTV1777,2010-28-04,Nicholas Todd Vincent,NTV1777,Nicholas.Todd.Vincent@dtaa.com,Physicist,,1 - Executive,2 - ResearchAndEngineering,2 - Research,5 - Lab,Quinn Dana Bradshaw

