Project List:49

Project 0
Project 1
Project 10
Project 11
Project 12
Project 13
Project 14
Project 15
Project 16
Project 17
Project 18
Project 19
Project 2
Project 20
Project 21
Project 22
Project 23
Project 24
Project 25
Project 26
Project 27
Project 28
Project 29
Project 3
Project 30
Project 31
Project 32
Project 33
Project 34
Project 35
Project 36
Project 37
Project 38
Project 39
Project 4
Project 40
Project 41
Project 42
Project 43
Project 44
Project 45
Project 46
Project 47
Project 5
Project 6
Project 7
Project 8
Project 9

Business Unit List:2
1 - Executive
2 - Executive

Functional Unit List:6
1 - Adminstration
2 - ResearchAndEngineering
3 - Manufacturing
4 - Finance
5 - SalesAndMarketing
6 - PurchasingAndContracts

Department List:23
1 - Accounting
1 - IndustrialEngineering
1 - MarketAnalysis
1 - Personnel
1 - ProjectManagement
1 - Purchasing
2 - EmployeeRelations
2 - ManufacturingEngineering
2 - Payroll
2 - Pricing
2 - Research
2 - Sales
3 - Assembly
3 - Contracts
3 - FieldService
3 - FinancialPlanning
3 - SoftwareManagement
3 - Training
4 - Engineering
4 - QualityControl
4 - Safety
5 - Medical
6 - Security

Team List:44
1 - AssemblyDept
1 - BuildingSecurity
1 - Lab
1 - Publications
1 - RegionalFieldService
1 - RegionalSales
1 - SQA
1 - Stockroom
2 - AssemblyDept
2 - DesktopSoftware
2 - ElectronicSecurity
2 - Lab
2 - MechanicalEngineering
2 - RegionalFieldService
2 - RegionalSales
3 - AssemblyDept
3 - ElectricalEngineering
3 - ElectronicSecurity
3 - EmbeddedSoftware
3 - Lab
3 - RegionalFieldService
3 - RegionalSales
3 - Stockroom
4 - AssemblyDept
4 - Lab
4 - MaterialsEngineering
4 - RegionalFieldService
4 - RegionalSales
4 - WebSoftware
5 - AssemblyDept
5 - DesktopSoftware
5 - Lab
5 - RegionalFieldService
5 - RegionalSales
5 - SystemsEngineering
6 - AssemblyDept
6 - EmbeddedSoftware
6 - Lab
6 - TestAndEvalualtion
7 - AssemblyDept
7 - SystemsEngineering
7 - WebSoftware
8 - AssemblyDept
8 - TestAndEvalualtion

Supervisor List:93
Allegra Genevieve Buckner
	Allegra Leila Mcclain
	Alma Nola Tillman
	Amos Albert Carney
	Ann Christine Moreno
