employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor
Maisie Maggy Kline,MMK1532,Maisie.Maggy.Kline@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Yvette Naomi Cortez
Nicole Tanya Burt,NTB0710,Nicole.Tanya.Burt@dtaa.com,SoftwareQualityEngineer,Project 2,2 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,1 - SQA,Brennan Thaddeus Dominguez
Madeline Tatum Donaldson,MTD0971,Madeline.Tatum.Donaldson@dtaa.com,ElectricalEngineer,,1 - Executive,2 - ResearchAndEngineering,3 - SoftwareManagement,6 - EmbeddedSoftware,Todd Rajah Peterson
Nicholas Hamish Browning,NHB1529,Nicholas.Hamish.Browning@dtaa.com,Technician,,2 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Yvette Naomi Cortez
Hoyt Berk Wiley,HBW0057,Hoyt.Berk.Wiley@dtaa.com,ProjectManager,,1 - Executive,2 - ResearchAndEngineering,1 - ProjectManagement,,Rina Adena Horn
Patience Lesley Mccoy,PLM1716,Patience.Lesley.Mccoy@dtaa.com,Salesman,,2 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Ethan Branden Garrett
Ulric Kirk Guthrie,UKG0386,Ulric.Kirk.Guthrie@dtaa.com,ProductionLineWorker,,2 - Executive,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Prescott Jasper Collins
Guinevere Lisandra Chang,GLC1055,Guinevere.Lisandra.Chang@dtaa.com,ProductionLineWorker,,1 - Executive,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Evangeline Yoko Malone
Ulric Ciaran Dunlap,UCD0608,Ulric.Ciaran.Dunlap@dtaa.com,StockroomClerk,,1 - Executive,3 - Manufacturing,3 - Assembly,1 - Stockroom,Sydney Genevieve Nichols
Coby Baxter Nguyen,CBN1983,Coby.Baxter.Nguyen@dtaa.com,LabManager,,1 - Executive,2 - ResearchAndEngineering,2 - Research,6 - Lab,Dominique Karly Charles
William Fulton Vega,WFV0687,William.Fulton.Vega@dtaa.com,ITAdmin,,2 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Jessica Jeanette Cline
Eaton Cade Dillon,ECD1434,Eaton.Cade.Dillon@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Michelle Yoshi Booker
Prescott Coby Key,PCK0271,Prescott.Coby.Key@dtaa.com,ITAdmin,,2 - Executive,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Jessica Jeanette Cline
Tiger Axel Gates,TAG1610,Tiger.Axel.Gates@dtaa.com,Salesman,,1 - Executive,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Freya Mara Gould
Walter Talon Conway,WTC0699,Walter.Talon.Conway@dtaa.com,Physicist,,2 - Executive,2 - ResearchAndEngineering,2 - Research,1 - Lab,Hedda Charity Velasquez
Thaddeus Rigel Baker,TRB1093,Thaddeus.Rigel.Baker@dtaa.com,Technician,,1 - Executive,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Moana Gemma Talley
